names,lats,lons,caps,prices,floors,exp_dates
XT พญาไท คอนโด High Rise แบรนด์ใหม่ บนถนนศรีอยุธยา ใกล้ BTS+ARL สถานีพญาไท จาก แสนสิริ [รีวิวฉบับที่ 1660],13.757474,100.538773,1,4.99,31,
CIELA ศรีปทุม คอนโด High Rise แบรนด์ใหม่ ติดรถไฟฟ้าสถานี ศรีปทุม จาก Grand Unity [รีวิวฉบับที่ 1541],13.855937,100.584916,900,2.05,28,คาดว่าจะแล้วเสร็จ : q4 ปี 2562
Life รัชดาภิเษก คอนโดพร้อมเข้าอยู่ ใกล้ MRT ห้วยขวาง จาก AP  [รีวิวฉบับที่ 779],13.78306,100.574308,429,4.99,,
My Story ลาดพร้าว 71 คอนโด Low Rise ติดถนนนาคนิวาส 4 อาคารล้อมรอบสระและสวน [รีวิวฉบับที่ 513],13.815783,100.610357,21,1.5,,
พาชมตึกเสร็จ Blossom Condo @ สาทร-เจริญราษฎร์ กลุ่มคอนโด Low Rise และ อาคารสำนักงาน บนถนนเจริญราษฎร์  ใกล้ทางด่วน จาก Siamese Asset [รีวิวฉบับที่ 1720],13.710772,100.52035,228,2.79,,
Plum Condo ปิ่นเกล้า สเตชั่น คอนโดย่านปิ่นเกล้า ติดถนนสมเด็จพระปิ่นเกล้า ใกล้ห้างพาต้า จาก พฤกษา [รีวิวฉบับที่ 1106],13.772539,100.483309,964,1.95,22,คาดว่าจะแล้วเสร็จ : q3 ปี 2561
The Crest Sukhumvit 24 คอนโดมิเนียมหลังอุทยานเบญจสิริ จาก SC Asset [รีวิวฉบับที่ 486],13.729151,100.566123,82,6.78,8,
Whizdom Connect สุขุมวิท คอนโด High Rise ใกล้ BTS ปุณณวิถี จาก Magnolia [รีวิวฉบับที่ 797],13.685149,100.610558,673,3.08,41,คาดว่าจะแล้วเสร็จ : 01/2561
Notting Hill สุขุมวิท-แพรกษา คอนโด High Rise 35 ชั้น ห่างรถไฟฟ้าประมาณ 850 ม. จาก Origin [รีวิวฉบับที่ 1068],13.585251,100.613704,4,1.29,,คาดว่าจะแล้วเสร็จ : ปี 2561
พาชมห้องตัวอย่าง Chapter One Flow บางโพ คอนโด High Rise วิวโค้งแม่น้ำเจ้าพระยา บนถนนประชาราษฎร์สาย1 จาก พฤกษา,13.812693,100.521248,385,2.69,41,คาดว่าจะแล้วเสร็จ : q4 2564
พาชมทำเลโครงการ Tropicana Eco Green Condo @BTS Erawan คอนโด Low Rise ตรงข้ามพิพิธภัณฑ์ช้างเอราวัณ [PREVIEW],13.629232,100.586947,,,,
Metro Sky ประชาชื่น คอนโดติดสถานีรถไฟฟ้าบางซ่อน บนถนนประชาชื่น จาก Property Perfect [รีิวิวฉบับที่ 434],13.822578,100.537047,1,1.9,,
Mayfair Place สุขุมวิท 50 กลุ่มคอนโด High Rise สูง 8-17 ชั้น ในซอยสุขุมวิท 50 จาก พีทีเอฟ เรียลตี้ [รีวิวฉบับที่ 1003],13.704792,100.595413,353,3.49,,คาดว่าจะแล้วเสร็จ : พฤกษาคม ปี 2561
พาชมตึกเสร็จ Plum แจ้งวัฒนะ สเตชั่น เฟส 2 คอนโด Low Rise ใกล้ถนนแจ้งวัฒนะและรถไฟฟ้า 3 สายในอนาคต จาก พฤกษา [รีวิวฉบับที่ 1572],13.87937,100.58581,970,1.2,,
รีวิวตึกเสร็จ CHAPTER ONE ECO รัชดา-ห้วยขวาง คอนโด High Rise 8 อาคาร บนถนนประชาอุทิศ จาก พฤกษา [รีวิวฉบับที่ 1818],13.772054,100.579979,1844,2.5,,
The Unique รัชดา 19 คอนโด Low Rise 8 ชั้น ใกล้สถานีรถไฟฟ้าใต้ดินรัชดา จาก TenThai [รีวิวฉบับที่ 473],13.801944,100.57223,76,2.46,8,
H2 รามอินทรา 21 คอนโด Low Rise 8 ชั้น 2 อาคารสไตล์ Modern Loft ในซอยรามอินทรา 21 จาก เอสเตท คิว [รีวิวฉบับที่ 549],13.864388,100.616945,78,1.18,8,คาดว่าจะแล้วเสร็จ : สิงหาคม 2558
The Tree ดินแดง – ราชปรารภ คอนโด Low Rise ใกล้ทางด่วนและ BTS อนุสาวรีย์ชัยสมรภูมิ จาก Pruksa [รีวิวฉบับที่ 1641],13.762161,100.547749,226,1.49,8,คาดว่าจะแล้วเสร็จ : ธ.ค. 2562
Ciela จรัญสนิทวงศ์ 13 สเตชั่น คอนโด High Rise ใกล้รถไฟฟ้าสถานี จรัญสนิทวงศ์ 13 จาก Grand Unity [PREVIEW],13.740739,100.470265,360,,20,
Kensington คอนโดพร้อมอยู่ใกล้รถไฟฟ้าแบริ่ง ซอยแบริ่ง 12 จาก Origin [รีวิวฉบับที่ 379],13.654724,100.606034,167,1.78,,
Ideo Mobi Sukhumvit Eastpoint คอนโด High Rise ตึกคู่ บนถนนสุขุมวิท-บางนา ใกล้ BTS บางนา 250 ม. จาก Ananda [รีวิวฉบับที่ 1697],13.665092,100.603573,520,2.98,32,คาดว่าจะแล้วเสร็จ : ธ.ค. 2563
PITI เอกมัย คอนโด High Rise ติดถนนเอกมัย ห่าง BTS เอกมัย 2 กม. พร้อมส่วนกลางจัดเต็มชั้นบนสุด จาก เสนาฮันคิว [รีวิวฉบับที่ 1671],13.737371,100.588804,879,4.45,37,คาดว่าจะแล้วเสร็จ : q4 2564
The Shade สาทร 1 คอนโด Low Rise ตึกคู่ ซอยศรีบำเพ็ญ จาก Sathaporn Estate [PREVIEW],13.718337,100.550482,282,3.69,1,คาดว่าจะแล้วเสร็จ : ตุลาคม 2563
Parque พุทธบูชา 48 คอนโด Low Rise 8 ชั้นใกล้ม.เทคโนโลยีพระจอมเกล้าธนบุรี (KMUTT) จาก นอร์มมาร์ค [รีวิวฉบับที่ 631],13.745565,100.534256,363,1.89,8,คาดว่าจะแล้วเสร็จ : ประมาณ 10/58
ลุมพินี พาร์ค นวมินทร์ – ศรีบูรพา คอนโด High Rise 15 ชั้น 7 อาคาร และอาคารจอดรถแยก 1 อาคาร ติดถนนนวมินทร์ โดย LPN [รีวิวฉบับที่ 603,13.794058,100.652282,1,1,15,
พาไปชมตึกเสร็จ Plum Condo สามัคคี คอนโด Low Rise เข้าโครงการบ้านประชารัฐ ราคาล้านต้นๆ บนถนนสามัคคี จาก พฤกษา เรียลเอสเตท [รีวิวฉบับที่ 1058],13.884308,100.524255,899,,8,คาดว่าจะแล้วเสร็จ : พ.ค. 2559
